Scientific name,Common name,Total observations (2015-2019),flyway.x,serial_number,common_name,iucn_status,wlpa_schedule,analysed_long-term,analysed_current,long-term_trend_(%),long-term_trend_ci_(%),current_annual_change_(%),current_annual_change_ci_(%),"distribution_range_size_(units_of_10,000_sq._km.)","distribution_range_size_ci_(units_of_10,000_sq._km.)",long_term_status,current_status,distribution_status,status_of_conservation_concern,assessed_primarily_based_on,migratory_status,V20,flyway.y
Anthus campestris,Tawny Pipit,5992,caf,818,Tawny Pipit,Least Concern,Schedule-IV,X,X,-69.75499277,25.56572139,-2.236819299,14.10193829,50.249065,0.0947,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance,,ief/caf
Anthus godlewskii,Blyth's Pipit,1662,caf,817,Blyth's Pipit,Least Concern,Schedule-IV,"",X,,,10.06539777,18.4840869,16.2595055,0.1653,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,caf
Anthus trivialis,Tree Pipit,8684,caf,822,Tree Pipit,Least Concern,Schedule-IV,X,X,-50.48980175,73.04767642,5.820917845,32.00670844,56.7402774,0.1116,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local,,ief/caf
Emberiza bruniceps,Red-headed Bunting,2035,caf,846,Red-headed Bunting,Least Concern,Schedule-IV,"",X,,,5.105035155,19.76406781,16.771658,0.0911,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,caf
Emberiza buchanani,Gray-necked Bunting,1838,caf,849,Grey-necked Bunting,Least Concern,Schedule-IV,"",X,,,-1.535670762,33.68062333,13.5539488,0.0738,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance,,ief/caf
Emberiza stewarti,White-capped Bunting,1249,caf,848,White-capped Bunting,Least Concern,Schedule-IV,"",X,,,18.62570564,39.69076461,0.7528218,0.0848,Data Deficient,Uncertain,Restricted,Moderate,Trends & Range Size,Migratory-Local,,caf
Prunella atrogularis,Black-throated Accentor,551,caf,806,Black-throated Accentor,Least Concern,Schedule-IV,"","",,,,,5.8234612,0.0827,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance,,caf
Prunella himalayana,Altai Accentor,479,caf,803,Altai Accentor,Least Concern,Schedule-IV,"","",,,,,2.4930553,0.0838,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Migratory-Long-Distance,,caf
